genome_ID	OTU	NCBI_ID	novelty_category
genome1	1	441960	Known_strain
genome2	2	242507	Known_strain
genome3	3	330879	Known_strain
genome4	4	344612	Known_strain
genome5	5	425011	Known_strain
genome6	6	441959	Known_strain
genome7	7	336963	Known_strain
genome8	8	294747	Known_strain
genome9	9	214684	Known_strain
genome10	10	559295	Known_strain
genome11	11	578458	Known_strain
genome12	12	486041	Known_strain
genome13	13	644352	Known_strain
genome14	14	559292	Known_strain
genome15	15	321614	Known_strain
genome16	16	665079	Known_strain
genome17	17	426428	Known_strain
genome18	18	436907	Known_strain
genome19	19	498257	Known_strain
genome20	20	526221	Known_strain
genome21	21	535722	Known_strain
genome22	22	663331	Known_strain
genome23	23	554155	Known_strain
genome24	24	660122	Known_strain
genome25	25	559305	Known_strain
genome26	26	656061	Known_strain
genome27	27	861557	Known_strain
genome28	28	431241	Known_strain
genome29	29	413071	Known_strain
genome30	30	425265	Known_strain
genome31	31	871575	Known_strain
genome32	32	655844	Known_strain
genome33	33	322104	Known_strain
genome34	34	578457	Known_strain
genome35	35	756982	Known_strain
genome36	36	983644	Known_strain
genome37	37	578455	Known_strain
genome38	38	1071378	Known_strain
genome39	39	1064592	Known_strain
genome40	40	655819	Known_strain
genome41	41	1186058	Known_strain
genome42	42	1072389	Known_strain
genome43	43	650164	Known_strain
genome44	44	1071382	Known_strain
genome45	45	1071380	Known_strain
genome46	46	717646	Known_strain
genome47	47	665912	Known_strain
genome48	48	383855	Known_strain
genome49	49	1071383	Known_strain
genome50	50	1069680	Known_strain
genome51	51	1287680	Known_strain
genome52	52	1263415	Known_strain
genome53	53	1381753	Known_strain
genome54	54	1296121	Known_strain
genome55	55	930089	Known_strain
genome56	56	930090	Known_strain
genome57	57	1182542	Known_strain
genome58	58	1037660	Known_strain
genome59	59	1043004	Known_strain
genome60	60	1442370	Known_strain
genome61	61	1442369	Known_strain
genome62	62	1509407	Known_strain
genome63	63	578459	Known_strain
genome64	64	1328760	Known_strain
genome65	65	1380566	Known_strain
genome66	66	763406	Known_strain
genome67	67	984486	Known_strain
genome68	68	984487	Known_strain
genome69	69	869754	Known_strain
genome70	70	759273	Known_strain
genome71	71	1295528	Known_strain
genome72	72	1295533	Known_strain
genome73	73	1213351	Known_strain
