@SampleID:mock_viruses
@Version:0.9.1
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	91.93187
2731618	phylum	10239|2731618	Viruses|Uroviricota	58.77187
2732412	phylum	10239|2732412	Viruses|Phixviricota	17.25917
2732007	phylum	10239|2732007	Viruses|Nucleocytoviricota	14.79671
2731361	phylum	10239|2731361	Viruses|Peploviricota	0.01755
2731619	class	10239|2731618|2731619	Viruses|Uroviricota|Caudoviricetes	58.77187
2732413	class	10239|2732412|2732413	Viruses|Phixviricota|Malgrandaviricetes	17.25917
2732525	class	10239|2732007|2732525	Viruses|Nucleocytoviricota|Pokkesviricetes	14.79598
2731363	class	10239|2731361|2731363	Viruses|Peploviricota|Herviviricetes	0.01755
2732523	class	10239|2732007|2732523	Viruses|Nucleocytoviricota|Megaviricetes	0.00074
28883	order	10239|2731618|2731619|28883	Viruses|Uroviricota|Caudoviricetes|Caudovirales	58.77187
2732414	order	10239|2732412|2732413|2732414	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales	17.25917
2732526	order	10239|2732007|2732525|2732526	Viruses|Nucleocytoviricota|Pokkesviricetes|Asfuvirales	10.76161
2732527	order	10239|2732007|2732525|2732527	Viruses|Nucleocytoviricota|Pokkesviricetes|Chitovirales	4.03436
548681	order	10239|2731361|2731363|548681	Viruses|Peploviricota|Herviviricetes|Herpesvirales	0.01755
2732554	order	10239|2732007|2732523|2732554	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales	0.00074
10662	family	10239|2731618|2731619|28883|10662	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae	30.88188
10841	family	10239|2732412|2732413|2732414|10841	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae	17.25917
137992	family	10239|2732007|2732525|2732526|137992	Viruses|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae	10.76161
10699	family	10239|2731618|2731619|28883|10699	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Siphoviridae	16.88676
10240	family	10239|2732007|2732525|2732527|10240	Viruses|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae	4.03436
10744	family	10239|2731618|2731619|28883|10744	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Podoviridae	8.09368
2560065	family	10239|2731618|2731619|28883|2560065	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Herelleviridae	2.88921
10442	family	10239||||10442	Viruses||||Baculoviridae	1.08654
10292	family	10239|2731361|2731363|548681|10292	Viruses|Peploviricota|Herviviricetes|Herpesvirales|Herpesviridae	0.01755
2731643	family	10239|2731618|2731619|28883|2731643	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Autographiviridae	0.01807
2731690	family	10239|2731618|2731619|28883|2731690	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Demerecviridae	0.00227
549779	family	10239|2732007|2732523|2732554|549779	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales|Mimiviridae	0.00074
10482	family	10239||||10482	Viruses||||Polydnaviridae	0.00003
1910954	genus	10239|2732412|2732413|2732414|10841|1910954	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Sinsheimervirus	13.87552
2733093	genus	10239|2731618|2731619|28883|10662|2733093	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Aurunvirus	18.34053
39743	genus	10239|2732007|2732525|2732526|137992|39743	Viruses|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus	10.76161
10260	genus	10239|2732007|2732525|2732527|10240|10260	Viruses|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Avipoxvirus	4.03436
2733124	genus	10239|2731618|2731619|28883|10662|2733124	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Phapecoctavirus	3.81690
2560160	genus	10239|2731618|2731619|28883|2560065|2560160	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Herelleviridae|Kochikohdavirus	2.88921
2560245	genus	10239|2731618|2731619|28883|10699|2560245	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Siphoviridae|Unahavirus	3.64681
1910951	genus	10239|2732412|2732413|2732414|10841|1910951	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus	3.38364
