@SampleID:mock_viruses
@Version:0.9.1
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	100.00000000000001
	phylum	10239|	Viruses|ssDNA viruses	83.621414229679
	phylum	10239|	Viruses|dsDNA viruses, no RNA stage	16.137962090241153
	phylum	10239|	Viruses|unclassified bacterial viruses	0.24020949631786181
	phylum	10239|	Viruses|ssRNA viruses	0.00041418376194761534
	class	10239||	Viruses|ssDNA viruses|Unclassified	83.621414229679
	class	10239||	Viruses|dsDNA viruses, no RNA stage|Caudovirales	16.13785180511215
	class	10239||	Viruses|unclassified bacterial viruses|Unclassified	0.24020949631786181
	class	10239||	Viruses|ssRNA viruses|Picornavirales	0.0003710482224112598
	class	10239||	Viruses|dsDNA viruses, no RNA stage|Unclassified	0.00010271060660347731
	class	10239||	Viruses|ssRNA viruses|Unclassified	4.3135539536355574e-05
	class	10239||	Viruses|dsDNA viruses, no RNA stage|Herpesvirales	7.57452240312158e-06
10841	order	10239|||10841	Viruses|ssDNA viruses|Unclassified|Microviridae	83.62134602324532
10699	order	10239|||10699	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae	6.663808767972293
10662	order	10239|||10662	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Myoviridae	6.314819096159663
10730	order	10239|||10730	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Podoviridae	3.1555218350472747
	order	10239|||	Viruses|unclassified bacterial viruses|Unclassified|Unclassified	0.24020949631786181
	order	10239|||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Unclassified	0.003702105932914381
12058	order	10239|||12058	Viruses|ssRNA viruses|Picornavirales|Picornaviridae	0.0003710482224112598
10240	order	10239|||10240	Viruses|dsDNA viruses, no RNA stage|Unclassified|Poxviridae	7.861456558005053e-05
10842	order	10239|||10842	Viruses|ssDNA viruses|Unclassified|unclassified Microviridae	6.820643367647093e-05
11050	order	10239|||11050	Viruses|ssRNA viruses|Unclassified|Flaviviridae	4.3135539536355574e-05
	order	10239|||	Viruses|dsDNA viruses, no RNA stage|Unclassified|Unclassified	2.409604102342679e-05
10401	order	10239|||10401	Viruses|dsDNA viruses, no RNA stage|Herpesvirales|Alloherpesviridae	4.501232917377462e-06
10292	order	10239|||10292	Viruses|dsDNA viruses, no RNA stage|Herpesvirales|Herpesviridae	3.073289485744118e-06
10844	family	10239|||10841|10844	Viruses|ssDNA viruses|Unclassified|Microviridae|Bullavirinae	83.62134602324532
	family	10239|||10699|	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae|Unclassified	6.663808767972293
	family	10239|||10662|	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Myoviridae|Unclassified	6.314755820253768
	family	10239|||10730|	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Podoviridae|Unclassified	3.1555153018475286
	family	10239||||	Viruses|unclassified bacterial viruses|Unclassified|Unclassified|Unclassified	0.24020949631786181
	family	10239||||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Unclassified|Unclassified	0.003702105932914381
	family	10239|||12058|	Viruses|ssRNA viruses|Picornavirales|Picornaviridae|Unclassified	0.0003710482224112598
40070	family	10239|||10240|40070	Viruses|dsDNA viruses, no RNA stage|Unclassified|Poxviridae|unclassified Chordopoxvirinae	7.388706030505145e-05
	family	10239|||10842|	Viruses|ssDNA viruses|Unclassified|unclassified Microviridae|Unclassified	6.820643367647093e-05
10663	family	10239|||10662|10663	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Myoviridae|Tevenvirinae	6.32759058954399e-05
	family	10239|||11050|	Viruses|ssRNA viruses|Unclassified|Flaviviridae|Unclassified	4.3135539536355574e-05
	family	10239||||	Viruses|dsDNA viruses, no RNA stage|Unclassified|Unclassified|Unclassified	2.409604102342679e-05
	family	10239|||10730|	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Podoviridae|Sepvirinae	6.533199746040231e-06
10241	family	10239|||10240|10241	Viruses|dsDNA viruses, no RNA stage|Unclassified|Poxviridae|Chordopoxvirinae	4.727505274999077e-06
	family	10239|||10401|	Viruses|dsDNA viruses, no RNA stage|Herpesvirales|Alloherpesviridae|Unclassified	4.501232917377462e-06
10355	family	10239|||10292|10355	Viruses|dsDNA viruses, no RNA stage|Herpesvirales|Herpesviridae|Gammaherpesvirinae	3.073289485744118e-06
338111	genus	10239|||10841|10844|338111	Viruses|ssDNA viruses|Unclassified|Microviridae|Bullavirinae|unclassified Phix174microvirus	70.32709240941035
10849	genus	10239|||10841|10844|10849	Viruses|ssDNA viruses|Unclassified|Microviridae|Bullavirinae|Alpha3microvirus	13.294048286392004
	genus	10239|||10662||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Myoviridae|Unclassified|Unclassified	6.314755820253768
1327976	genus	10239|||10699||1327976	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae|Unclassified|Cba181virus	4.903771831804127
	genus	10239|||10730||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Podoviridae|Unclassified|Unclassified	3.1555153018475286
	genus	10239|||10699||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae|Unclassified|Unclassified	1.5638020484926964
	genus	10239|||||	Viruses|unclassified bacterial viruses|Unclassified|Unclassified|Unclassified|Unclassified	0.24020949631786181
756282	genus	10239|||10699||756282	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae|Unclassified|Cbastvirus	0.19622632495692868
	genus	10239|||||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Unclassified|Unclassified|Unclassified	0.003702105932914381
12103	genus	10239|||12058||12103	Viruses|ssRNA viruses|Picornavirales|Picornaviridae|Unclassified|Cardiovirus	0.0003710482224112598
338109	genus	10239|||10841|10844|338109	Viruses|ssDNA viruses|Unclassified|Microviridae|Bullavirinae|unclassified Alpha3microvirus	0.00020532744297430692
	genus	10239|||10240|40070|	Viruses|dsDNA viruses, no RNA stage|Unclassified|Poxviridae|unclassified Chordopoxvirinae|Unclassified	7.388706030505145e-05
10843	genus	10239|||10842||10843	Viruses|ssDNA viruses|Unclassified|unclassified Microviridae|Unclassified|Microvirus	6.820643367647093e-05
10664	genus	10239|||10662|10663|10664	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Myoviridae|Tevenvirinae|T4virus	6.32759058954399e-05
11102	genus	10239|||11050||11102	Viruses|ssRNA viruses|Unclassified|Flaviviridae|Unclassified|Hepacivirus	4.3135539536355574e-05
	genus	10239|||||	Viruses|dsDNA viruses, no RNA stage|Unclassified|Unclassified|Unclassified|Unclassified	2.409604102342679e-05
10701	genus	10239|||10699||10701	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Siphoviridae|Unclassified|Lambdavirus	8.562718540596913e-06
	genus	10239|||10730||	Viruses|dsDNA viruses, no RNA stage|Caudovirales|Podoviridae|Sepvirinae|Tl2011virus	6.533199746040231e-06
	genus	10239|||10240|10241|	Viruses|dsDNA viruses, no RNA stage|Unclassified|Poxviridae|Chordopoxvirinae|Centapoxvirus	4.727505274999077e-06
172653	genus	10239|||10401||172653	Viruses|dsDNA viruses, no RNA stage|Herpesvirales|Alloherpesviridae|Unclassified|Ictalurivirus	3.094102295054844e-06
