@SampleID:simulated_virus
@Version:0.9.1
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	89.15615
2732007	phylum	10239|2732007	Viruses|Nucleocytoviricota	45.28188
2732008	phylum	10239|2732008	Viruses|Preplasmiviricota	12.27187
2731361	phylum	10239|2731361	Viruses|Peploviricota	4.93012
2731618	phylum	10239|2731618	Viruses|Uroviricota	2.68340
2497569	phylum	10239|2497569	Viruses|Negarnaviricota	0.32261
2732415	phylum	10239|2732415	Viruses|Cossaviricota	0.06806
2732523	class	10239|2732007|2732523	Viruses|Nucleocytoviricota|Megaviricetes	39.83711
2732529	class	10239|2732008|2732529	Viruses|Preplasmiviricota|Tectiliviricetes	12.27187
2732525	class	10239|2732007|2732525	Viruses|Nucleocytoviricota|Pokkesviricetes	5.44477
2731363	class	10239|2731361|2731363	Viruses|Peploviricota|Herviviricetes	4.93012
2731619	class	10239|2731618|2731619	Viruses|Uroviricota|Caudoviricetes	2.68340
2497574	class	10239|2497569|2497574	Viruses|Negarnaviricota|Monjiviricetes	0.32261
2732421	class	10239|2732415|2732421	Viruses|Cossaviricota|Papovaviricetes	0.06806
2732524	order	10239|2732007|2732523|2732524	Viruses|Nucleocytoviricota|Megaviricetes|Algavirales	23.01161
2732559	order	10239|2732008|2732529|2732559	Viruses|Preplasmiviricota|Tectiliviricetes|Rowavirales	12.27187
2732554	order	10239|2732007|2732523|2732554	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales	16.66574
2732526	order	10239|2732007|2732525|2732526	Viruses|Nucleocytoviricota|Pokkesviricetes|Asfuvirales	5.44477
548681	order	10239|2731361|2731363|548681	Viruses|Peploviricota|Herviviricetes|Herpesvirales	4.93012
2732555	order	10239|2732007|2732523|2732555	Viruses|Nucleocytoviricota|Megaviricetes|Pimascovirales	0.15976
