tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	mock_fungi	0.0
Gold standard	phylum	Bray-Curtis distance	mock_fungi	0.0
Gold standard	class	Bray-Curtis distance	mock_fungi	0.0
Gold standard	order	Bray-Curtis distance	mock_fungi	0.0
Gold standard	family	Bray-Curtis distance	mock_fungi	0.0
Gold standard	genus	Bray-Curtis distance	mock_fungi	0.0
Gold standard	species	Bray-Curtis distance	mock_fungi	0.0
Gold standard	superkingdom	Shannon diversity	mock_fungi	0.0
Gold standard	superkingdom	Shannon equitability	mock_fungi	0.0
Gold standard	phylum	Shannon diversity	mock_fungi	0.839585833464957
Gold standard	phylum	Shannon equitability	mock_fungi	0.6056331591702603
Gold standard	class	Shannon diversity	mock_fungi	0.839585833464957
Gold standard	class	Shannon equitability	mock_fungi	0.6056331591702603
Gold standard	order	Shannon diversity	mock_fungi	0.9997752028788945
Gold standard	order	Shannon equitability	mock_fungi	0.6211952602550807
Gold standard	family	Shannon diversity	mock_fungi	1.0166752414219875
Gold standard	family	Shannon equitability	mock_fungi	0.5224677212951255
Gold standard	genus	Shannon diversity	mock_fungi	1.1613929189682666
Gold standard	genus	Shannon equitability	mock_fungi	0.5585119349063586
Gold standard	species	Shannon diversity	mock_fungi	1.1613929189682666
Gold standard	species	Shannon equitability	mock_fungi	0.5585119349063586
Gold standard	superkingdom	F1 score	mock_fungi	1.0
Gold standard	superkingdom	False negatives	mock_fungi	0.0
Gold standard	superkingdom	False positives	mock_fungi	0.0
Gold standard	superkingdom	Jaccard index	mock_fungi	1.0
Gold standard	superkingdom	Taxon counts	mock_fungi	1.0
Gold standard	superkingdom	Purity	mock_fungi	1.0
Gold standard	superkingdom	Completeness	mock_fungi	1.0
Gold standard	superkingdom	True positives	mock_fungi	1.0
Gold standard	phylum	F1 score	mock_fungi	1.0
Gold standard	phylum	False negatives	mock_fungi	0.0
Gold standard	phylum	False positives	mock_fungi	0.0
Gold standard	phylum	Jaccard index	mock_fungi	1.0
Gold standard	phylum	Taxon counts	mock_fungi	4.0
Gold standard	phylum	Purity	mock_fungi	1.0
Gold standard	phylum	Completeness	mock_fungi	1.0
Gold standard	phylum	True positives	mock_fungi	4.0
Gold standard	class	F1 score	mock_fungi	1.0
Gold standard	class	False negatives	mock_fungi	0.0
Gold standard	class	False positives	mock_fungi	0.0
Gold standard	class	Jaccard index	mock_fungi	1.0
Gold standard	class	Taxon counts	mock_fungi	4.0
Gold standard	class	Purity	mock_fungi	1.0
Gold standard	class	Completeness	mock_fungi	1.0
Gold standard	class	True positives	mock_fungi	4.0
Gold standard	order	F1 score	mock_fungi	1.0
Gold standard	order	False negatives	mock_fungi	0.0
Gold standard	order	False positives	mock_fungi	0.0
Gold standard	order	Jaccard index	mock_fungi	1.0
Gold standard	order	Taxon counts	mock_fungi	5.0
Gold standard	order	Purity	mock_fungi	1.0
Gold standard	order	Completeness	mock_fungi	1.0
Gold standard	order	True positives	mock_fungi	5.0
Gold standard	family	F1 score	mock_fungi	1.0
Gold standard	family	False negatives	mock_fungi	0.0
Gold standard	family	False positives	mock_fungi	0.0
Gold standard	family	Jaccard index	mock_fungi	1.0
Gold standard	family	Taxon counts	mock_fungi	7.0
Gold standard	family	Purity	mock_fungi	1.0
Gold standard	family	Completeness	mock_fungi	1.0
Gold standard	family	True positives	mock_fungi	7.0
Gold standard	genus	F1 score	mock_fungi	1.0
Gold standard	genus	False negatives	mock_fungi	0.0
Gold standard	genus	False positives	mock_fungi	0.0
Gold standard	genus	Jaccard index	mock_fungi	1.0
Gold standard	genus	Taxon counts	mock_fungi	8.0
Gold standard	genus	Purity	mock_fungi	1.0
Gold standard	genus	Completeness	mock_fungi	1.0
Gold standard	genus	True positives	mock_fungi	8.0
Gold standard	species	F1 score	mock_fungi	1.0
Gold standard	species	False negatives	mock_fungi	0.0
Gold standard	species	False positives	mock_fungi	0.0
Gold standard	species	Jaccard index	mock_fungi	1.0
