tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	simulated_virus	0.0
Gold standard	phylum	Bray-Curtis distance	simulated_virus	0.0
Gold standard	class	Bray-Curtis distance	simulated_virus	0.0
Gold standard	order	Bray-Curtis distance	simulated_virus	0.0
Gold standard	family	Bray-Curtis distance	simulated_virus	0.0
Gold standard	genus	Bray-Curtis distance	simulated_virus	0.0
Gold standard	species	Bray-Curtis distance	simulated_virus	0.0
Gold standard	strain	Bray-Curtis distance	simulated_virus	0.0
Gold standard	superkingdom	Shannon diversity	simulated_virus	0.0
Gold standard	superkingdom	Shannon equitability	simulated_virus	0.0
Gold standard	phylum	Shannon diversity	simulated_virus	1.4421835526741065
Gold standard	phylum	Shannon equitability	simulated_virus	0.6263323588179921
Gold standard	class	Shannon diversity	simulated_virus	1.6875612440455685
Gold standard	class	Shannon equitability	simulated_virus	0.6086590594952379
Gold standard	order	Shannon diversity	simulated_virus	1.7532628768122493
Gold standard	order	Shannon equitability	simulated_virus	0.5852535262546221
Gold standard	family	Shannon diversity	simulated_virus	1.9759864047197933
Gold standard	family	Shannon equitability	simulated_virus	0.5651314547396658
Gold standard	genus	Shannon diversity	simulated_virus	2.274836367044713
Gold standard	genus	Shannon equitability	simulated_virus	0.5372647959078892
Gold standard	species	Shannon diversity	simulated_virus	2.2943326929350345
Gold standard	species	Shannon equitability	simulated_virus	0.5235779889561952
Gold standard	strain	Shannon diversity	simulated_virus	2.2999865593790614
Gold standard	strain	Shannon equitability	simulated_virus	0.5219271821791057
Gold standard	superkingdom	True positives	simulated_virus	1.0
Gold standard	superkingdom	False negatives	simulated_virus	0.0
Gold standard	superkingdom	False positives	simulated_virus	0.0
Gold standard	superkingdom	Completeness	simulated_virus	1.0
Gold standard	superkingdom	Purity	simulated_virus	1.0
Gold standard	superkingdom	F1 score	simulated_virus	1.0
Gold standard	superkingdom	Jaccard index	simulated_virus	1.0
Gold standard	superkingdom	Taxon counts	simulated_virus	1.0
Gold standard	phylum	True positives	simulated_virus	10.0
Gold standard	phylum	False negatives	simulated_virus	0.0
Gold standard	phylum	False positives	simulated_virus	0.0
Gold standard	phylum	Completeness	simulated_virus	1.0
Gold standard	phylum	Purity	simulated_virus	1.0
Gold standard	phylum	F1 score	simulated_virus	1.0
Gold standard	phylum	Jaccard index	simulated_virus	1.0
Gold standard	phylum	Taxon counts	simulated_virus	10.0
Gold standard	class	True positives	simulated_virus	16.0
Gold standard	class	False negatives	simulated_virus	0.0
Gold standard	class	False positives	simulated_virus	0.0
Gold standard	class	Completeness	simulated_virus	1.0
Gold standard	class	Purity	simulated_virus	1.0
Gold standard	class	F1 score	simulated_virus	1.0
Gold standard	class	Jaccard index	simulated_virus	1.0
Gold standard	class	Taxon counts	simulated_virus	16.0
Gold standard	order	True positives	simulated_virus	20.0
Gold standard	order	False negatives	simulated_virus	0.0
Gold standard	order	False positives	simulated_virus	0.0
Gold standard	order	Completeness	simulated_virus	1.0
Gold standard	order	Purity	simulated_virus	1.0
Gold standard	order	F1 score	simulated_virus	1.0
Gold standard	order	Jaccard index	simulated_virus	1.0
Gold standard	order	Taxon counts	simulated_virus	20.0
Gold standard	family	True positives	simulated_virus	33.0
Gold standard	family	False negatives	simulated_virus	0.0
Gold standard	family	False positives	simulated_virus	0.0
Gold standard	family	Completeness	simulated_virus	1.0
Gold standard	family	Purity	simulated_virus	1.0
Gold standard	family	F1 score	simulated_virus	1.0
Gold standard	family	Jaccard index	simulated_virus	1.0
Gold standard	family	Taxon counts	simulated_virus	33.0
Gold standard	genus	True positives	simulated_virus	69.0
Gold standard	genus	False negatives	simulated_virus	0.0
Gold standard	genus	False positives	simulated_virus	0.0
Gold standard	genus	Completeness	simulated_virus	1.0
Gold standard	genus	Purity	simulated_virus	1.0
Gold standard	genus	F1 score	simulated_virus	1.0
Gold standard	genus	Jaccard index	simulated_virus	1.0
Gold standard	genus	Taxon counts	simulated_virus	69.0
Gold standard	species	True positives	simulated_virus	80.0
