tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	phylum	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	class	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	order	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	family	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	genus	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	species	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	strain	Bray-Curtis distance	simulated_fungi	0.0
Gold standard	superkingdom	Shannon diversity	simulated_fungi	0.0
Gold standard	superkingdom	Shannon equitability	simulated_fungi	0.0
Gold standard	phylum	Shannon diversity	simulated_fungi	0.12515973162656197
Gold standard	phylum	Shannon equitability	simulated_fungi	0.1805673241366345
Gold standard	class	Shannon diversity	simulated_fungi	1.1397510198144072
Gold standard	class	Shannon equitability	simulated_fungi	0.4318780827624418
Gold standard	order	Shannon diversity	simulated_fungi	1.442026173428443
Gold standard	order	Shannon equitability	simulated_fungi	0.44259774276183067
Gold standard	family	Shannon diversity	simulated_fungi	1.861465571582235
Gold standard	family	Shannon equitability	simulated_fungi	0.5012601177911794
Gold standard	genus	Shannon diversity	simulated_fungi	2.0886218566370216
Gold standard	genus	Shannon equitability	simulated_fungi	0.5143827536089352
Gold standard	species	Shannon diversity	simulated_fungi	2.155314881185161
Gold standard	species	Shannon equitability	simulated_fungi	0.5023506015496247
Gold standard	strain	Shannon diversity	simulated_fungi	2.1553148811851606
Gold standard	strain	Shannon equitability	simulated_fungi	0.5023506015496246
Gold standard	superkingdom	F1 score	simulated_fungi	1.0
Gold standard	superkingdom	False negatives	simulated_fungi	0.0
Gold standard	superkingdom	False positives	simulated_fungi	0.0
Gold standard	superkingdom	Jaccard index	simulated_fungi	1.0
Gold standard	superkingdom	Taxon counts	simulated_fungi	1.0
Gold standard	superkingdom	Purity	simulated_fungi	1.0
Gold standard	superkingdom	Completeness	simulated_fungi	1.0
Gold standard	superkingdom	True positives	simulated_fungi	1.0
Gold standard	phylum	F1 score	simulated_fungi	1.0
Gold standard	phylum	False negatives	simulated_fungi	0.0
Gold standard	phylum	False positives	simulated_fungi	0.0
Gold standard	phylum	Jaccard index	simulated_fungi	1.0
Gold standard	phylum	Taxon counts	simulated_fungi	2.0
Gold standard	phylum	Purity	simulated_fungi	1.0
Gold standard	phylum	Completeness	simulated_fungi	1.0
Gold standard	phylum	True positives	simulated_fungi	2.0
Gold standard	class	F1 score	simulated_fungi	1.0
Gold standard	class	False negatives	simulated_fungi	0.0
Gold standard	class	False positives	simulated_fungi	0.0
Gold standard	class	Jaccard index	simulated_fungi	1.0
Gold standard	class	Taxon counts	simulated_fungi	14.0
Gold standard	class	Purity	simulated_fungi	1.0
Gold standard	class	Completeness	simulated_fungi	1.0
Gold standard	class	True positives	simulated_fungi	14.0
Gold standard	order	F1 score	simulated_fungi	1.0
Gold standard	order	False negatives	simulated_fungi	0.0
Gold standard	order	False positives	simulated_fungi	0.0
Gold standard	order	Jaccard index	simulated_fungi	1.0
Gold standard	order	Taxon counts	simulated_fungi	26.0
Gold standard	order	Purity	simulated_fungi	1.0
Gold standard	order	Completeness	simulated_fungi	1.0
Gold standard	order	True positives	simulated_fungi	26.0
Gold standard	family	F1 score	simulated_fungi	1.0
Gold standard	family	False negatives	simulated_fungi	0.0
Gold standard	family	False positives	simulated_fungi	0.0
Gold standard	family	Jaccard index	simulated_fungi	1.0
Gold standard	family	Taxon counts	simulated_fungi	41.0
Gold standard	family	Purity	simulated_fungi	1.0
Gold standard	family	Completeness	simulated_fungi	1.0
Gold standard	family	True positives	simulated_fungi	41.0
Gold standard	genus	F1 score	simulated_fungi	1.0
Gold standard	genus	False negatives	simulated_fungi	0.0
Gold standard	genus	False positives	simulated_fungi	0.0
Gold standard	genus	Jaccard index	simulated_fungi	1.0
Gold standard	genus	Taxon counts	simulated_fungi	58.0
Gold standard	genus	Purity	simulated_fungi	1.0
Gold standard	genus	Completeness	simulated_fungi	1.0
Gold standard	genus	True positives	simulated_fungi	58.0
Gold standard	species	F1 score	simulated_fungi	1.0
Gold standard	species	False negatives	simulated_fungi	0.0
Gold standard	species	False positives	simulated_fungi	0.0
Gold standard	species	Jaccard index	simulated_fungi	1.0
Gold standard	species	Taxon counts	simulated_fungi	73.0
Gold standard	species	Purity	simulated_fungi	1.0
Gold standard	species	Completeness	simulated_fungi	1.0
Gold standard	species	True positives	simulated_fungi	73.0
Gold standard	strain	F1 score	simulated_fungi	1.0
Gold standard	strain	False negatives	simulated_fungi	0.0
Gold standard	strain	False positives	simulated_fungi	0.0
Gold standard	strain	Jaccard index	simulated_fungi	1.0
Gold standard	strain	Taxon counts	simulated_fungi	73.0
Gold standard	strain	Purity	simulated_fungi	1.0
Gold standard	strain	Completeness	simulated_fungi	1.0
Gold standard	strain	True positives	simulated_fungi	73.0
Gold standard	superkingdom	L1 norm error	simulated_fungi	0.0
Gold standard	phylum	L1 norm error	simulated_fungi	0.0
Gold standard	class	L1 norm error	simulated_fungi	0.0
Gold standard	order	L1 norm error	simulated_fungi	0.0
Gold standard	family	L1 norm error	simulated_fungi	0.0
Gold standard	genus	L1 norm error	simulated_fungi	0.0
Gold standard	species	L1 norm error	simulated_fungi	0.0
Gold standard	strain	L1 norm error	simulated_fungi	0.0
Gold standard	na	Weighted UniFrac error	simulated_fungi	0.0
Gold standard	na	Unweighted UniFrac error	simulated_fungi	0.0
MiCoP	superkingdom	Bray-Curtis distance	simulated_fungi	1.0
MiCoP	phylum	Bray-Curtis distance	simulated_fungi	1.0
MiCoP	class	Bray-Curtis distance	simulated_fungi	0.608055
MiCoP	order	Bray-Curtis distance	simulated_fungi	0.6526923905670186
MiCoP	family	Bray-Curtis distance	simulated_fungi	0.9113947661082026
MiCoP	genus	Bray-Curtis distance	simulated_fungi	0.5146890612359085
MiCoP	species	Bray-Curtis distance	simulated_fungi	0.32892010260266075
MiCoP	strain	Bray-Curtis distance	simulated_fungi	0.19876080538324412
MiCoP	superkingdom	Shannon diversity	simulated_fungi	-2.220446049250313e-16
MiCoP	superkingdom	Shannon equitability	simulated_fungi	0.0
MiCoP	phylum	Shannon diversity	simulated_fungi	0.07795467343387393
MiCoP	phylum	Shannon equitability	simulated_fungi	0.11246482077716853
MiCoP	class	Shannon diversity	simulated_fungi	0.9079403846232518
MiCoP	class	Shannon equitability	simulated_fungi	0.35397984836699337
MiCoP	order	Shannon diversity	simulated_fungi	1.3023969030645792
MiCoP	order	Shannon equitability	simulated_fungi	0.4098095792549831
MiCoP	family	Shannon diversity	simulated_fungi	1.3090285256506435
MiCoP	family	Shannon equitability	simulated_fungi	0.36818575931557673
MiCoP	genus	Shannon diversity	simulated_fungi	1.4629242261571596
MiCoP	genus	Shannon equitability	simulated_fungi	0.36342768000228715
MiCoP	species	Shannon diversity	simulated_fungi	1.1524837772326513
MiCoP	species	Shannon equitability	simulated_fungi	0.2731322840858637
MiCoP	strain	Shannon diversity	simulated_fungi	1.4113025239679098
MiCoP	strain	Shannon equitability	simulated_fungi	0.3475735333071425
MiCoP	superkingdom	False negatives	simulated_fungi	1.0
MiCoP	superkingdom	False positives	simulated_fungi	1.0
MiCoP	superkingdom	Jaccard index	simulated_fungi	0.0
MiCoP	superkingdom	Taxon counts	simulated_fungi	1.0
MiCoP	superkingdom	Purity	simulated_fungi	0.0
MiCoP	superkingdom	Completeness	simulated_fungi	0.0
MiCoP	superkingdom	True positives	simulated_fungi	0.0
MiCoP	phylum	False negatives	simulated_fungi	2.0
MiCoP	phylum	False positives	simulated_fungi	2.0
