accession	tax_id	name	abundance
KF302034.1	1357705	Pseudoalteromonas phage HM1	0.0351
KF302037.1	1357706	Pseudoalteromonas phage HP1	0.0351
KF302033.1	1357707	Pseudoalteromonas phage HS1	0.0351
KF302036.1	1357708	Pseudoalteromonas phage HS2	0.0351
KF302035.1	1357710	Pseudoalteromonas phage HS6	0.0351
NC_021796.1	1327977	Cellulophaga phage phi38:1	0.0351
NC_021794.1	1327983	Cellulophaga phage phi18:3	0.0351
KC821629.1	1327999	Cellulophaga phage phi38:2	0.0351
KC821625.1	1327992	Cellulophaga phage phi13:1	0.0351
NC_021790.1	1327982	Cellulophaga phage phi18:1	0.0351
NC_001422.1	10847	Escherichia virus phiX174	0.3247
NC_001330.1	10849	Escherichia phage alpha3	0.3247
