@SampleID:metabing2_simulated_viruses
@Version:MetaBinG2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	100.00000
2732007	phylum	10239|2732007	Viruses|Nucleocytoviricota	82.28629
2732405	phylum	10239|2732405	Viruses|Duplornaviricota	1.60068
2731361	phylum	10239|2731361	Viruses|Peploviricota	1.40761
2732408	phylum	10239|2732408	Viruses|Pisuviricota	1.90785
2732415	phylum	10239|2732415	Viruses|Cossaviricota	0.79437
2497569	phylum	10239|2497569	Viruses|Negarnaviricota	2.99599
2732406	phylum	10239|2732406	Viruses|Kitrinoviricota	0.17198
2732523	class	10239|2732007|2732523	Viruses|Nucleocytoviricota|Megaviricetes	82.28629
2732459	class	10239|2732405|2732459	Viruses|Duplornaviricota|Resentoviricetes	1.60068
2731363	class	10239|2731361|2731363	Viruses|Peploviricota|Herviviricetes	1.40761
2732506	class	10239|2732408|2732506	Viruses|Pisuviricota|Pisoniviricetes	1.90785
2732421	class	10239|2732415|2732421	Viruses|Cossaviricota|Papovaviricetes	0.79437
2497576	class	10239|2497569|2497576	Viruses|Negarnaviricota|Ellioviricetes	2.64774
2732462	class	10239|2732406|2732462	Viruses|Kitrinoviricota|Flasuviricetes	0.17198
2497574	class	10239|2497569|2497574	Viruses|Negarnaviricota|Monjiviricetes	0.34825
2732555	order	10239|2732007|2732523|2732555	Viruses|Nucleocytoviricota|Megaviricetes|Pimascovirales	47.97653
2732554	order	10239|2732007|2732523|2732554	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales	15.48743
2732524	order	10239|2732007|2732523|2732524	Viruses|Nucleocytoviricota|Megaviricetes|Algavirales	18.82233
2732541	order	10239|2732405|2732459|2732541	Viruses|Duplornaviricota|Resentoviricetes|Reovirales	1.60068
548681	order	10239|2731361|2731363|548681	Viruses|Peploviricota|Herviviricetes|Herpesvirales	1.40761
76804	order	10239|2732408|2732506|76804	Viruses|Pisuviricota|Pisoniviricetes|Nidovirales	1.90785
2732533	order	10239|2732415|2732421|2732533	Viruses|Cossaviricota|Papovaviricetes|Zurhausenvirales	0.79437
1980410	order	10239|2497569|2497576|1980410	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales	2.64774
2732545	order	10239|2732406|2732462|2732545	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales	0.17198
11157	order	10239|2497569|2497574|11157	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales	0.34825
10486	family	10239|2732007|2732523|2732555|10486	Viruses|Nucleocytoviricota|Megaviricetes|Pimascovirales|Iridoviridae	47.97653
549779	family	10239|2732007|2732523|2732554|549779	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales|Mimiviridae	15.48743
10501	family	10239|2732007|2732523|2732524|10501	Viruses|Nucleocytoviricota|Megaviricetes|Algavirales|Phycodnaviridae	18.82233
10442	family	10239||||10442	Viruses||||Baculoviridae	5.15288
10880	family	10239|2732405|2732459|2732541|10880	Viruses|Duplornaviricota|Resentoviricetes|Reovirales|Reoviridae	1.60068
548682	family	10239|2731361|2731363|548681|548682	Viruses|Peploviricota|Herviviricetes|Herpesvirales|Alloherpesviridae	1.40761
76803	family	10239|2732408|2732506|76804|76803	Viruses|Pisuviricota|Pisoniviricetes|Nidovirales|Arteriviridae	1.90785
151340	family	10239|2732415|2732421|2732533|151340	Viruses|Cossaviricota|Papovaviricetes|Zurhausenvirales|Papillomaviridae	0.79437
11617	family	10239|2497569|2497576|1980410|11617	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|Arenaviridae	2.64774
11050	family	10239|2732406|2732462|2732545|11050	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae	0.17198
11270	family	10239|2497569|2497574|11157|11270	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae	0.34825
10491	genus	10239|2732007|2732523|2732555|10486|10491	Viruses|Nucleocytoviricota|Megaviricetes|Pimascovirales|Iridoviridae|Chloriridovirus	47.97653
315393	genus	10239|2732007|2732523|2732554|549779|315393	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales|Mimiviridae|Mimivirus	15.48743
