@SampleID:metalign_simulated_fungi
@Version:Metalign
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2759	superkingdom	2759	Eukaryota	96.31986
4890	phylum	2759|4890	Eukaryota|Ascomycota	94.70009
5204	phylum	2759|5204	Eukaryota|Basidiomycota	1.61976
147545	class	2759|4890|147545	Eukaryota|Ascomycota|Eurotiomycetes	66.77263
4891	class	2759|4890|4891	Eukaryota|Ascomycota|Saccharomycetes	24.22327
147550	class	2759|4890|147550	Eukaryota|Ascomycota|Sordariomycetes	1.90722
147541	class	2759|4890|147541	Eukaryota|Ascomycota|Dothideomycetes	1.39215
155616	class	2759|5204|155616	Eukaryota|Basidiomycota|Tremellomycetes	0.99847
155619	class	2759|5204|155619	Eukaryota|Basidiomycota|Agaricomycetes	0.42313
147553	class	2759|4890|147553	Eukaryota|Ascomycota|Pneumocystidomycetes	0.15878
1217819	class	2759|4890|1217819	Eukaryota|Ascomycota|Xylonomycetes	0.11835
147548	class	2759|4890|147548	Eukaryota|Ascomycota|Leotiomycetes	0.10252
162481	class	2759|5204|162481	Eukaryota|Basidiomycota|Microbotryomycetes	0.10014
452283	class	2759|5204|452283	Eukaryota|Basidiomycota|Exobasidiomycetes	0.09748
147549	class	2759|4890|147549	Eukaryota|Ascomycota|Pezizomycetes	0.02445
189478	class	2759|4890|189478	Eukaryota|Ascomycota|Orbiliomycetes	0.00069
5257	class	2759|5204|5257	Eukaryota|Basidiomycota|Ustilaginomycetes	0.00048
34395	order	2759|4890|147545|34395	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	65.79612
4892	order	2759|4890|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	24.22327
5125	order	2759|4890|147550|5125	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	1.38001
5234	order	2759|5204|155616|5234	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	0.99829
5042	order	2759|4890|147545|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	0.92096
92860	order	2759|4890|147541|92860	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.89545
134362	order	2759|4890|147541|134362	Eukaryota|Ascomycota|Dothideomycetes|Capnodiales	0.29938
5338	order	2759|5204|155619|5338	Eukaryota|Basidiomycota|Agaricomycetes|Agaricales	0.27639
639021	order	2759|4890|147550|639021	Eukaryota|Ascomycota|Sordariomycetes|Magnaporthales	0.23325
5014	order	2759|4890|147541|5014	Eukaryota|Ascomycota|Dothideomycetes|Dothideales	0.19463
1028384	order	2759|4890|147550|1028384	Eukaryota|Ascomycota|Sordariomycetes|Glomerellales	0.16768
37987	order	2759|4890|147553|37987	Eukaryota|Ascomycota|Pneumocystidomycetes|Pneumocystidales	0.15878
5139	order	2759|4890|147550|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	0.12454
5303	order	2759|5204|155619|5303	Eukaryota|Basidiomycota|Agaricomycetes|Polyporales	0.1193
1217820	order	2759|4890|1217819|1217820	Eukaryota|Ascomycota|Xylonomycetes|Xylonales	0.11835
5178	order	2759|4890|147548|5178	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.102
231213	order	2759|5204|162481|231213	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	0.10014
62913	order	2759|5204|452283|62913	Eukaryota|Basidiomycota|Exobasidiomycetes|Georgefischeriales	0.09748
146291	order	2759|4890|147545|146291	Eukaryota|Ascomycota|Eurotiomycetes|Verrucariales	0.04995
68889	order	2759|5204|155619|68889	Eukaryota|Basidiomycota|Agaricomycetes|Boletales	0.02744
5185	order	2759|4890|147549|5185	Eukaryota|Ascomycota|Pezizomycetes|Pezizales	0.02445
33183	order	2759|4890|147545|33183	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	0.00559
451869	order	2759|4890|147541|451869	Eukaryota|Ascomycota|Dothideomycetes|Botryosphaeriales	0.00188
37989	order	2759|4890|147550|37989	Eukaryota|Ascomycota|Sordariomycetes|Xylariales	0.00108
189479	order	2759|4890|189478|189479	Eukaryota|Ascomycota|Orbiliomycetes|Orbiliales	0.00069
5267	order	2759|5204|5257|5267	Eukaryota|Basidiomycota|Ustilaginomycetes|Ustilaginales	0.00048
5151	order	2759|4890|147550|5151	Eukaryota|Ascomycota|Sordariomycetes|Ophiostomatales	0.00037
1111111	order	2759|4890|147541|1111111	Eukaryota|Ascomycota|Dothideomycetes|Venturiales	0.00032
1775898	order	2759|4890|147550|1775898	Eukaryota|Ascomycota|Sordariomycetes|Togniniales	0.00026
1851469	order	2759|5204|155616|1851469	Eukaryota|Basidiomycota|Tremellomycetes|Trichosporonales	0.00018
43219	family	2759|4890|147545|34395|43219	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae	65.79491
766764	family	2759|4890|4891|4892|766764	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae	17.40219
4893	family	2759|4890|4891|4892|4893	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	4.77061
1156497	family	2759|4890|4891|4892|1156497	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Pichiaceae	1.8849
1884633	family	2759|5204|155616|5234|1884633	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae	0.99829
