@SampleID:metalign_simulated_viruses
@Version:Metalign
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	99.92984
11157	order	10239|||11157	Viruses|||Mononegavirales	3.13147
76804	order	10239|||76804	Viruses|||Nidovirales	2.09716
1980410	order	10239|||1980410	Viruses|||Bunyavirales	0.80346
464095	order	10239|||464095	Viruses|||Picornavirales	0.25806
2169561	order	10239|||2169561	Viruses|||Ortervirales	0.05038
675063	order	10239|||675063	Viruses|||Tymovirales	0.04246
10486	family	10239||||10486	Viruses||||Iridoviridae	59.31127
549779	family	10239||||549779	Viruses||||Mimiviridae	12.58063
10880	family	10239||||10880	Viruses||||Reoviridae	7.50867
11617	family	10239||||11617	Viruses||||Arenaviridae	6.77033
151340	family	10239||||151340	Viruses||||Papillomaviridae	3.13387
11270	family	10239|||11157|11270	Viruses|||Mononegavirales|Rhabdoviridae	2.12502
76803	family	10239|||76804|76803	Viruses|||Nidovirales|Arteriviridae	1.8693
10508	family	10239||||10508	Viruses||||Adenoviridae	1.11051
11050	family	10239||||11050	Viruses||||Flaviviridae	0.89819
10780	family	10239||||10780	Viruses||||Parvoviridae	0.61186
11158	family	10239|||11157|11158	Viruses|||Mononegavirales|Paramyxoviridae	0.425
1980416	family	10239|||1980410|1980416	Viruses|||Bunyavirales|Peribunyaviridae	0.37729
1980418	family	10239|||1980410|1980418	Viruses|||Bunyavirales|Phenuiviridae	0.34627
151341	family	10239||||151341	Viruses||||Polyomaviridae	0.26078
12058	family	10239|||464095|12058	Viruses|||Picornavirales|Picornaviridae	0.23572
11118	family	10239|||76804|11118	Viruses|||Nidovirales|Coronaviridae	0.22786
1980413	family	10239|||1980410|1980413	Viruses|||Bunyavirales|Hantaviridae	0.07437
11974	family	10239||||11974	Viruses||||Caliciviridae	0.0729
39729	family	10239||||39729	Viruses||||Potyviridae	0.06743
11632	family	10239|||2169561|11632	Viruses|||Ortervirales|Retroviridae	0.05038
10811	family	10239||||10811	Viruses||||Geminiviridae	0.04556
675068	family	10239|||675063|675068	Viruses|||Tymovirales|Betaflexiviridae	0.04246
178830	family	10239|||11157|178830	Viruses|||Mononegavirales|Bornaviridae	0.0189
39724	family	10239||||39724	Viruses||||Circoviridae	0.01298
1910928	family	10239||||1910928	Viruses||||Genomoviridae	0.00921
11989	family	10239||||11989	Viruses||||Leviviridae	0.00692
1980415	family	10239|||1980410|1980415	Viruses|||Bunyavirales|Nairoviridae	0.00553
2169574	family	10239||||2169574	Viruses||||Smacoviridae	0.00286
10491	genus	10239||||10486|10491	Viruses||||Iridoviridae|Chloriridovirus	58.49136
315393	genus	10239||||549779|315393	Viruses||||Mimiviridae|Mimivirus	12.47531
10892	genus	10239||||10880|10892	Viruses||||Reoviridae|Orbivirus	7.40998
1653395	genus	10239||||11617|1653395	Viruses||||Arenaviridae|Reptarenavirus	6.77033
333750	genus	10239||||151340|333750	Viruses||||Papillomaviridae|Alphapapillomavirus	2.00616
2003403	genus	10239|||76804|76803|2003403	Viruses|||Nidovirales|Arteriviridae|Simartevirus	1.8693
10509	genus	10239||||10508|10509	Viruses||||Adenoviridae|Mastadenovirus	0.96599
11051	genus	10239||||11050|11051	Viruses||||Flaviviridae|Flavivirus	0.89819
