@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2706	superkingdom	2706	Eukaryota	100.00000000000003
4753	phylum	2706|4753	Eukaryota|Ascomycota	98.49827524175329
4970	phylum	2706|4970	Eukaryota|Basidiomycota	1.501724758246739
4967	class	2706|4753|4967	Eukaryota|Ascomycota|Eurotiomycetes	52.88381478575053
4891	class	2706|4753|4891	Eukaryota|Ascomycota|Saccharomycetes	42.97177690098466
4972	class	2706|4970|4972	Eukaryota|Basidiomycota|Tremellomycetes	1.045010632732428
5044	class	2706|4753|5044	Eukaryota|Ascomycota|Sordariomycetes	0.9847579279385736
5014	class	2706|4753|5014	Eukaryota|Ascomycota|Dothideomycetes	0.9278200673473368
4754	class	2706|4753|4754	Eukaryota|Ascomycota|Pneumocystidomycetes	0.49820860360204694
5218	class	2706|4970|5218	Eukaryota|Basidiomycota|Agaricomycetes	0.2258873420293367
40219	class	2706|4753|40219	Eukaryota|Ascomycota|Xylonomycetes	0.16182688872863832
5032	class	2706|4970|5032	Eukaryota|Basidiomycota|Exobasidiomycetes	0.11959205367580844
4996	class	2706|4970|4996	Eukaryota|Basidiomycota|Microbotryomycetes	0.1112347298091657
5100	class	2706|4753|5100	Eukaryota|Ascomycota|Leotiomycetes	0.06437814893845896
5185	class	2706|4753|5185	Eukaryota|Ascomycota|Pezizomycetes	0.005235316074647278
13348	class	2706|4753|13348	Eukaryota|Ascomycota|Orbiliomycetes	0.0004566023883777416
5583	order	2706|4753|4967|5583	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	52.184221967106836
4892	order	2706|4753|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	42.97177690098466
4973	order	2706|4970|4972|4973	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	1.0448242317794159
5046	order	2706|4753|5044|5046	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.6905806962953671
5042	order	2706|4753|4967|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	0.6637777407877572
5015	order	2706|4753|5014|5015	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.6256980366083496
	order	2706|4753|4754|	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified	0.49820860360204694
