@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
10239	superkingdom	10239	Viruses	100.0
	phylum	10239|	Viruses|ssRNA viruses	46.08022334174449
	phylum	10239|	Viruses|dsDNA viruses, no RNA stage	29.779689441990335
	phylum	10239|	Viruses|dsRNA viruses	15.428395519854446
	phylum	10239|	Viruses|ssDNA viruses	4.917779404677677
	phylum	10239|	Viruses|unclassified RNA viruses	3.372740244445038
	phylum	10239|	Viruses|Retro-transcribing viruses	0.232759383120044
	phylum	10239|	Viruses|Unclassified	0.14965362968772525
	phylum	10239|	Viruses|unclassified viruses	0.03875903448024393
	class	10239||	Viruses|dsDNA viruses, no RNA stage|Unclassified	29.779689441990335
	class	10239||	Viruses|ssRNA viruses|Unclassified	27.92527086538839
	class	10239||	Viruses|dsRNA viruses|Unclassified	15.428395519854446
	class	10239||	Viruses|ssRNA viruses|Mononegavirales	7.680900468155231
	class	10239||	Viruses|ssDNA viruses|Unclassified	4.917779404677677
	class	10239||	Viruses|ssRNA viruses|Nidovirales	4.749064084507143
	class	10239||	Viruses|unclassified RNA viruses|Unclassified	3.372740244445038
	class	10239||	Viruses|ssRNA viruses|Bunyavirales	2.169363412242943
	class	10239||	Viruses|ssRNA viruses|unassigned Mononegavirales	2.1285452158225167
	class	10239||	Viruses|ssRNA viruses|Picornavirales	1.2333337964082445
	class	10239||	Viruses|Retro-transcribing viruses|Unclassified	0.232759383120044
	class	10239||	Viruses|ssRNA viruses|Tymovirales	0.19374549922001524
	class	10239||	Viruses|Unclassified|Unclassified	0.14965362968772525
	class	10239||	Viruses|unclassified viruses|Unclassified	0.03875903448024393
11617	order	10239|||11617	Viruses|ssRNA viruses|Unclassified|Arenaviridae	24.184775639886425
10880	order	10239|||10880	Viruses|dsRNA viruses|Unclassified|Reoviridae	15.428395519854446
10559	order	10239|||10559	Viruses|dsDNA viruses, no RNA stage|Unclassified|Papillomaviridae	15.077163282342633
10486	order	10239|||10486	Viruses|dsDNA viruses, no RNA stage|Unclassified|Iridoviridae	11.386875787125483
11270	order	10239|||11270	Viruses|ssRNA viruses|Mononegavirales|Rhabdoviridae	6.6048779131326185
11046	order	10239|||11046	Viruses|ssRNA viruses|Nidovirales|Arteriviridae	4.4465725687320194
10780	order	10239|||10780	Viruses|ssDNA viruses|Unclassified|Parvoviridae	4.038434743606386
	order	10239|||	Viruses|unclassified RNA viruses|Unclassified|Unclassified	3.372740244445038
11050	order	10239|||11050	Viruses|ssRNA viruses|Unclassified|Flaviviridae	3.0373144162068666
	order	10239|||	Viruses|ssRNA viruses|unassigned Mononegavirales|Unclassified	2.1285452158225167
10572	order	10239|||10572	Viruses|dsDNA viruses, no RNA stage|Unclassified|Polyomaviridae	1.8605761704225494
12058	order	10239|||12058	Viruses|ssRNA viruses|Picornavirales|Picornaviridae	1.1445623464535792
	order	10239|||	Viruses|ssRNA viruses|Bunyavirales|Phenuiviridae	1.0835048586630853
10508	order	10239|||10508	Viruses|dsDNA viruses, no RNA stage|Unclassified|Adenoviridae	1.0629024427194074
11158	order	10239|||11158	Viruses|ssRNA viruses|Mononegavirales|Paramyxoviridae	0.873369791267581
10811	order	10239|||10811	Viruses|ssDNA viruses|Unclassified|Geminiviridae	0.6129268418946268
	order	10239|||	Viruses|ssRNA viruses|Bunyavirales|unclassified Peribunyaviridae	0.42582982799203006
	order	10239|||	Viruses|ssRNA viruses|Bunyavirales|Peribunyaviridae	0.4208959277367509
11974	order	10239|||11974	Viruses|ssRNA viruses|Unclassified|Caliciviridae	0.36596186897578653
212035	order	10239|||212035	Viruses|dsDNA viruses, no RNA stage|Unclassified|Mimiviridae	0.3315643567828903
11118	order	10239|||11118	Viruses|ssRNA viruses|Nidovirales|Coronaviridae	0.302491515775124
12618	order	10239|||12618	Viruses|ssDNA viruses|Unclassified|Circoviridae	0.26641781917666385
