@SampleID:diamond_mega_simulated_fungi
@Version:Diamond+Megan
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2759	superkingdom	2759	Eukaryota	100.00000
4890	phylum	2759|4890	Eukaryota|Ascomycota	96.96094
5204	phylum	2759|5204	Eukaryota|Basidiomycota	3.03906
147541	class	2759|4890|147541	Eukaryota|Ascomycota|Dothideomycetes	1.32312
147545	class	2759|4890|147545	Eukaryota|Ascomycota|Eurotiomycetes	58.69752
147550	class	2759|4890|147550	Eukaryota|Ascomycota|Sordariomycetes	0.88534
147548	class	2759|4890|147548	Eukaryota|Ascomycota|Leotiomycetes	0.12001
162481	class	2759|5204|162481	Eukaryota|Basidiomycota|Microbotryomycetes	0.05694
452283	class	2759|5204|452283	Eukaryota|Basidiomycota|Exobasidiomycetes	0.03344
155619	class	2759|5204|155619	Eukaryota|Basidiomycota|Agaricomycetes	0.66735
155616	class	2759|5204|155616	Eukaryota|Basidiomycota|Tremellomycetes	0.76163
4891	class	2759|4890|4891	Eukaryota|Ascomycota|Saccharomycetes	23.74863
147553	class	2759|4890|147553	Eukaryota|Ascomycota|Pneumocystidomycetes	0.10163
1217819	class	2759|4890|1217819	Eukaryota|Ascomycota|Xylonomycetes	0.04915
5125	order	2759|4890|147550|5125	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.63412
2726947	order	2759|4890|147541|2726947	Eukaryota|Ascomycota|Dothideomycetes|Mycosphaerellales	0.18741
5139	order	2759|4890|147550|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	0.06193
4892	order	2759|4890|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	24.93440
639021	order	2759|4890|147550|639021	Eukaryota|Ascomycota|Sordariomycetes|Magnaporthales	0.23682
1028384	order	2759|4890|147550|1028384	Eukaryota|Ascomycota|Sordariomycetes|Glomerellales	0.06363
5178	order	2759|4890|147548|5178	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.11261
34395	order	2759|4890|147545|34395	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	70.43903
5234	order	2759|5204|155616|5234	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	0.75679
5014	order	2759|4890|147541|5014	Eukaryota|Ascomycota|Dothideomycetes|Dothideales	0.12475
5042	order	2759|4890|147545|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	1.06827
5303	order	2759|5204|155619|5303	Eukaryota|Basidiomycota|Agaricomycetes|Polyporales	0.04267
92860	order	2759|4890|147541|92860	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.66430
5338	order	2759|5204|155619|5338	Eukaryota|Basidiomycota|Agaricomycetes|Agaricales	0.37669
231213	order	2759|5204|162481|231213	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	0.06878
62913	order	2759|5204|452283|62913	Eukaryota|Basidiomycota|Exobasidiomycetes|Georgefischeriales	0.04075
37987	order	2759|4890|147553|37987	Eukaryota|Ascomycota|Pneumocystidomycetes|Pneumocystidales	0.12607
1217820	order	2759|4890|1217819|1217820	Eukaryota|Ascomycota|Xylonomycetes|Xylonales	0.06097
5129	family	2759|4890|147550|5125|5129	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Hypocreaceae	0.03947
1799696	family	2759|5204|162481|231213|1799696	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae	0.09924
110618	family	2759|4890|147550|5125|110618	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae	0.32898
4893	family	2759|4890|4891|4892|4893	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	6.88247
766764	family	2759|4890|4891|4892|766764	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae	12.75925
396331	family	2759|5204|155619|5303|396331	Eukaryota|Basidiomycota|Agaricomycetes|Polyporales|Phanerochaetaceae	0.05799
474943	family	2759|4890|147550|5125|474943	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae	0.26621
34397	family	2759|4890|147550|5125|34397	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae	0.18245
