@SampleID:diamond_mega_simulated_viruses
@Version:Diamond+Megan
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
10239	superkingdom	10239	Viruses	100.00000
2732416	phylum	10239|2732416	Viruses|Cressdnaviricota	0.06603
2732408	phylum	10239|2732408	Viruses|Pisuviricota	1.97104
2732007	phylum	10239|2732007	Viruses|Nucleocytoviricota	77.35241
2732415	phylum	10239|2732415	Viruses|Cossaviricota	2.81530
2497569	phylum	10239|2497569	Viruses|Negarnaviricota	14.13883
2732406	phylum	10239|2732406	Viruses|Kitrinoviricota	0.72828
2732008	phylum	10239|2732008	Viruses|Preplasmiviricota	1.17249
2732405	phylum	10239|2732405	Viruses|Duplornaviricota	1.75562
2732506	class	10239|2732408|2732506	Viruses|Pisuviricota|Pisoniviricetes	1.90899
2732523	class	10239|2732007|2732523	Viruses|Nucleocytoviricota|Megaviricetes	76.45282
2732421	class	10239|2732415|2732421	Viruses|Cossaviricota|Papovaviricetes	2.31021
2732462	class	10239|2732406|2732462	Viruses|Kitrinoviricota|Flasuviricetes	0.62270
2497574	class	10239|2497569|2497574	Viruses|Negarnaviricota|Monjiviricetes	3.58295
2732529	class	10239|2732008|2732529	Viruses|Preplasmiviricota|Tectiliviricetes	1.15885
2732422	class	10239|2732415|2732422	Viruses|Cossaviricota|Quintoviricetes	0.47234
2497576	class	10239|2497569|2497576	Viruses|Negarnaviricota|Ellioviricetes	10.38125
2732424	class	10239|2732416|2732424	Viruses|Cressdnaviricota|Repensiviricetes	0.05738
2732459	class	10239|2732405|2732459	Viruses|Duplornaviricota|Resentoviricetes	1.73520
2732461	class	10239|2732406|2732461	Viruses|Kitrinoviricota|Alsuviricetes	0.09711
2732507	class	10239|2732408|2732507	Viruses|Pisuviricota|Stelpaviricetes	0.03913
2732555	order	10239|2732007|2732523|2732555	Viruses|Nucleocytoviricota|Megaviricetes|Pimascovirales	70.95569
11157	order	10239|2497569|2497574|11157	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales	2.75324
2732539	order	10239|2732416|2732424|2732539	Viruses|Cressdnaviricota|Repensiviricetes|Geplafuvirales	0.03379
464095	order	10239|2732408|2732506|464095	Viruses|Pisuviricota|Pisoniviricetes|Picornavirales	0.24905
1980410	order	10239|2497569|2497576|1980410	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales	5.62450
675063	order	10239|2732406|2732461|675063	Viruses|Kitrinoviricota|Alsuviricetes|Tymovirales	0.05272
76804	order	10239|2732408|2732506|76804	Viruses|Pisuviricota|Pisoniviricetes|Nidovirales	1.58146
2732554	order	10239|2732007|2732523|2732554	Viruses|Nucleocytoviricota|Megaviricetes|Imitervirales	11.88178
2732533	order	10239|2732415|2732421|2732533	Viruses|Cossaviricota|Papovaviricetes|Zurhausenvirales	2.38609
2732545	order	10239|2732406|2732462|2732545	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales	0.67470
2732559	order	10239|2732008|2732529|2732559	Viruses|Preplasmiviricota|Tectiliviricetes|Rowavirales	1.25563
2732534	order	10239|2732415|2732422|2732534	Viruses|Cossaviricota|Quintoviricetes|Piccovirales	0.51179
2732532	order	10239|2732415|2732421|2732532	Viruses|Cossaviricota|Papovaviricetes|Sepolyvirales	0.11705
2732541	order	10239|2732405|2732459|2732541	Viruses|Duplornaviricota|Resentoviricetes|Reovirales	1.88011
2732550	order	10239|2732408|2732507|2732550	Viruses|Pisuviricota|Stelpaviricetes|Patatavirales	0.04240
76803	family	10239|2732408|2732506|76804|76803	Viruses|Pisuviricota|Pisoniviricetes|Nidovirales|Arteriviridae	1.69739
11270	family	10239|2497569|2497574|11157|11270	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae	2.66837
10508	family	10239|2732008|2732529|2732559|10508	Viruses|Preplasmiviricota|Tectiliviricetes|Rowavirales|Adenoviridae	1.49718
12058	family	10239|2732408|2732506|464095|12058	Viruses|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae	0.23714
