taxon_id	name
11090	Yellow fever virus
913600	Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]
285013	unclassified Bicaudaviridae
1282967	Haloarcula hispanica virus PH1
1805954	Bacillus phage SageFayge
49268	unclassified Mastrevirus
693272	Cafeteria roenbergensis virus BV-PW1
208973	Choristoneura fumiferana multiple nucleopolyhedrovirus
2003578	Cervid adenovirus 1
46076	Artichoke latent virus
1675866	Urbanus proteus nucleopolyhedrovirus
1266995	Sida mottle Alagoas virus
92444	Acute bee paralysis virus
338473	Actinomyces virus Av1
1708572	unclassified Hepatovirus
768738	Elephant endotheliotropic herpesvirus 5
701257	Bacillus virus 250
1561226	Testudinid herpesvirus 3
1922816	Changjiang tombus-like virus 22
1922814	Changjiang tombus-like virus 20
1922815	Changjiang tombus-like virus 21
1074304	Mycobacterium virus Liefie
1436892	Pea yellow stunt virus
1837218	Salmonella phage phSE-2
2021666	Macroptilium golden yellow mosaic virus
1923682	Wenzhou weivirus-like virus 1
1636263	Paenibacillus phage Xenia
345250	Raven circovirus
1922354	Beihai barnacle virus 10
37960	unclassified Partitiviridae
10796	Porcine parvovirus
418443	Erwinia amylovora phage Era103
997078	Tomato leaf curl Comoros virus
1853762	Jasmine virus C
10742	Escherichia virus HK022
1567471	Mycobacterium phage Keshu
10334	Felid alphaherpesvirus 1
1654927	Klebsiella phage PKP126
180399	Melon chlorotic mosaic virus
1747288	Enterococcus phage vB_EfaP_IME195
1923466	Shuangao insect virus 10
1923467	Shuangao insect virus 11
1923468	Shuangao insect virus 12
70793	unclassified Avastrovirus
444193	Botrytis cinerea mitovirus 1
1629666	Botrytis cinerea mitovirus 3
1629665	Botrytis cinerea mitovirus 2
1629667	Botrytis cinerea mitovirus 4
10421	Deltavirus
1743411	Gorilla anellovirus
1916137	Coot Bay virus
1394142	Ferret parechovirus
1922868	Hubei dimarhabdovirus virus 3
1922867	Hubei dimarhabdovirus virus 2
1922866	Hubei dimarhabdovirus virus 1
1541824	Mycobacterium phage Ariel
1647308	Mycobacterium phage Nerujay
1922708	Beihai sphaeromadae virus 2
1922709	Beihai sphaeromadae virus 3
1922707	Beihai sphaeromadae virus 1
1922710	Beihai sphaeromadae virus 4
223347	Tomato leaf curl New Delhi virus
549205	Cycad leaf necrosis virus
10882	Spinareovirinae
1516127	Chaetoceros tenuissimus DNA virus type-II
1922857	Hubei chuvirus-like virus 1
390443	Erectites yellow mosaic virus
1296573	Gastropod associated circular ssDNA virus
473783	unclassified Umbravirus
12317	Tobacco streak virus
11987	Gammacarmovirus
10240	Poxviridae
698486	K1gvirus
360579	Mesta yellow vein mosaic virus
1923641	Wenzhou picorna-like virus 53
1923640	Wenzhou picorna-like virus 52
1923639	Wenzhou picorna-like virus 51
908127	Okra enation leaf curl virus [India:Munthal EL37:2006]
1906173	Bastrovirus/VietNam/Porcine/17489_85
1262518	Leuconostoc phage phiLN25
1608451	Phytophthora parasitica virus
576791	Escherichia phage wV8
1054480	Escherichia phage wV7
10830	Tobacco yellow dwarf virus
766180	White bream virus
1560285	Mycobacterium phage Larenn
1073966	unclassified Sapelovirus
1458841	Mycobacterium phage CRB1
71972	Beet virus Q
693272	Cafeteriavirus
1923776	Xinzhou partiti-like virus 1
1114942	Pig stool associated circular ssDNA virus GER2011
1792222	Acinetobacter phage LZ35
1852657	Klebsiella phage KpV475
1391667	Bufavirus-3
1054834	Escherichia phage ime09
994995	Rotavirus G chicken/03V0567/DEU/2003
167019	Pelargonium line pattern virus
384643	Enterobacteria phage WA13 sensu lato
112437	Oat necrotic mottle virus
1567485	Proteus phage pPM_01
471717	Melon aphid-borne yellows virus
2006585	Duck associated cyclovirus 1
320837	Staphylococcus virus 42e
1792032	Bacillus phage SP-15
11048	Lactate dehydrogenase-elevating virus
511969	Enterobacteria phage ID2 Moscow/ID/2001
1698356	Mycobacterium phage Phatniss
1740165	Lisianthus enation leaf curl virus
467481	Azospirillum phage Cd
202566	Cherry rasp leaf virus
1718161	Paenibacillus phage Tripp
1336600	Felis catus papillomavirus 3
1398507	Felis catus papillomavirus 4
371714	unclassified Flexiviridae
1547219	Lake Sinai virus
691318	Acinetobacter phage phiAB1
664980	Tomato leaf curl Hainan virus
11879	Y73 sarcoma virus
1379707	Circoviridae 3 LDMD-2013
909206	Klamath virus
12814	unclassified Pneumovirus
1476390	Pseudomonas phage vB_PaeS_SCH_Ab26
1654926	Escherichia phage HY03
1821564	Gordonia phage Vivi2
1133031	Sputnikvirus
1923392	Sanxia tombus-like virus 8
1981916	Salmovirus WFRC1
1487185	Heliconius erato iflavirus
1812308	Deinbollia mosaic virus
10499	African swine fever virus
12885	Tomato apical stunt viroid
29261	Ntaya virus group
122203	Ferlavirus
437444	Ampullaviridae
658904	Rosellinia necatrix megabirnavirus 1/W779
265522	Hyposoter fugitivus ichnovirus
1780507	Myotis gammaherpesvirus 8
64279	Cripavirus
1161935	Salinivibrio phage CW02
1923205	Hubei sobemo-like virus 2
555387	Synechococcus phage S-RSM4
1692262	Primnoa pacifica coral associated circular virus
1972612	Flanders hapavirus
1922821	Changjiang tombus-like virus 7
1922820	Changjiang tombus-like virus 6
1922819	Changjiang tombus-like virus 5
1922818	Changjiang tombus-like virus 4
1922817	Changjiang tombus-like virus 3
1922813	Changjiang tombus-like virus 2
1922802	Changjiang tombus-like virus 1
877240	Pseudoalteromonas phage H105/1
348013	Madrid virus
1922823	Changjiang tombus-like virus 9
1266451	Mulberry vein banding virus
93838	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))
10685	Spounavirinae
1922360	Beihai barnacle virus 2
1922361	Beihai barnacle virus 3
1922362	Beihai barnacle virus 4
1701814	Streptococcus phage phiARI0131-2
1701813	Streptococcus phage phiARI0131-1
1541825	Shigella phage Shf125875
1922366	Beihai barnacle virus 8
1887654	Gordonia phage Terapin
1195087	Sunshine Coast virus
996311	Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001]
283675	Clostera anachoreta granulovirus
12124	Theilovirus
362398	Sugarcane bacilliform IM virus
1235653	Propionibacterium phage PHL111M01
2017082	Human fecal virus Jorvi3
2017081	Human fecal virus Jorvi2
2017083	Human fecal virus Jorvi4
700512	Vibrio phage SIO-2
293644	Guernseyvirinae
131082	Beet chlorosis virus
1821557	Gordonia phage Lucky10
598746	unclassified Coleviroid
1906317	Grapevine geminivirus A
28353	Bean common mosaic virus
46021	Paramecium bursaria Chlorella virus NY2A
1560034	Tupaia virus
1340812	Synechococcus phage S-MbCM100
1054968	Salmonella phage 7-11
37127	Citrus variegation virus
1404345	Acheta domestica mini ambidensovirus
1840528	Sclerotinia sclerotiorum mycoreovirus 4
64320	Zika virus
10662	Myoviridae
1087482	S16virus
12008	Allolevivirus
2023155	Metallosphaera turreted icosahedral virus
12269	Fabavirus
1936269	Helicoverpa armigera iflavirus
10719	Streptomyces virus phiC31
1708712	Rosellinia necatrix endornavirus 1
1195365	Mischivirus
12542	Omsk hemorrhagic fever virus
