#tax_id	genomic_nucleotide_accession.version
4754	NC_013660.2
4808	NC_011360.1
4829	NC_036158.1
4837	NC_027730.1
4874	NC_016684.1
4876	NC_012056.1
4896	NC_001326.1
4896	NC_003421.2
4896	NC_003423.3
4896	NC_003424.3
4897	NC_004332.1
4899	NC_004312.1
4903	NC_022163.1
4909	NC_042506.1
4909	NC_042507.1
4909	NC_042508.1
4909	NC_042509.1
4909	NC_042510.1
4911	NC_025331.1
4920	NC_013255.1
4929	NC_022154.1
4931	NC_031513.1
4932	NC_027264.1
4934	NC_018056.1
4952	NC_002659.1
4979	NC_039747.1
5007	NC_013147.1
5044	NC_023268.1
5059	NC_026920.1
5067	NC_041445.1
5068	NC_007597.1
5068	NW_023336275.1
5068	NW_023336276.1
5068	NW_023336277.1
5068	NW_023336278.1
5068	NW_023336279.1
5068	NW_023336280.1
5068	NW_023336281.1
5068	NW_023336282.1
5068	NW_023336283.1
5068	NW_023336284.1
5068	NW_023336285.1
5068	NW_023336286.1
5068	NW_023336287.1
5068	NW_023336288.1
5068	NW_023336289.1
5077	NC_047444.1
5082	NC_027416.1
5082	NW_024067565.1
5082	NW_024067566.1
5082	NW_024067567.1
5082	NW_024067568.1
5082	NW_024067569.1
5082	NW_024067570.1
5082	NW_024067571.1
5082	NW_024067572.1
5082	NW_024067573.1
5082	NW_024067574.1
5082	NW_024067575.1
5082	NW_024067576.1
5082	NW_024067577.1
5082	NW_024067578.1
5082	NW_024067579.1
5082	NW_024067580.1
5082	NW_024067581.1
5082	NW_024067582.1
5082	NW_024067583.1
5082	NW_024067584.1
5082	NW_024067585.1
5082	NW_024067586.1
5082	NW_024067587.1
5082	NW_024067588.1
5082	NW_024067589.1
5082	NW_024067590.1
5082	NW_024067591.1
5082	NW_024067592.1
5082	NW_024067593.1
5082	NW_024067594.1
5082	NW_024067595.1
5082	NW_024067596.1
5082	NW_024067597.1
5082	NW_024067598.1
5082	NW_024067599.1
5082	NW_024067600.1
5082	NW_024067601.1
5082	NW_024067602.1
5082	NW_024067603.1
5082	NW_024067604.1
5082	NW_024067605.1
5082	NW_024067606.1
5082	NW_024067607.1
5082	NW_024067608.1
5082	NW_024067609.1
5082	NW_024067610.1
5082	NW_024067611.1
5082	NW_024067612.1
5082	NW_024067613.1
5082	NW_024067614.1
5082	NW_024067615.1
5082	NW_024067616.1
5082	NW_024067617.1
5082	NW_024067618.1
5082	NW_024067619.1
5082	NW_024067622.1
5082	NW_024067623.1
5082	NW_024067625.1
5082	NW_024067627.1
5082	NW_024067628.1
5082	NW_024067629.1
5082	NW_024067630.1
5082	NW_024067631.1
5082	NW_024067633.1
5082	NW_024067634.1
5082	NW_024067635.1
5082	NW_024067636.1
5082	NW_024067638.1
5082	NW_024067639.1
5082	NW_024067640.1
5113	NC_032063.1
5158	NC_044963.1
5270	NC_008368.1
5286	NC_052704.1
5308	NC_020148.1
5315	NC_021750.1
5321	NC_038091.1
5322	NC_009905.1
5322	NW_023503156.1
5322	NW_023503165.1
5322	NW_023503166.1
5322	NW_023503167.1
5322	NW_023503168.1
5322	NW_023503169.1
5322	NW_023503170.1
5322	NW_023503171.1
5322	NW_023503157.1
5322	NW_023503158.1
5322	NW_023503159.1
5322	NW_023503160.1
5322	NW_023503161.1
5322	NW_023503162.1
5322	NW_023503163.1
5322	NW_023503164.1
5323	NC_033533.1
5327	NC_037239.1
5334	NC_003049.1
5353	NC_018365.1
