accession_id	genome_size	tax_id	tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom
NC_021248.1	307691	10288	Choristoneura biennis entomopoxvirus		Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_021247.1	228750	1293540	Adoxophyes honmai entomopoxvirus 'L'	Adoxophyes honmai entomopoxvirus	Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_021246.1	281182	1293572	Mythimna separata entomopoxvirus 'L'	Mythimna separata entomopoxvirus	Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_021249.1	282895	1293539	Choristoneura rosaceana entomopoxvirus 'L'	Choristoneura rosaceana entomopoxvirus	Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_001422.1	5386	338112	Enterobacteria phage ID22	Enterobacteria phage phiX174 sensu lato	Sinsheimervirus	Microviridae	Petitvirales	Malgrandaviricetes	Phixviricota	Sangervirae	Viruses
NC_005817.1	2928	191289	Sclerophthora macrospora virus A								Viruses
NC_005818.1	1981	191289	Sclerophthora macrospora virus A								Viruses
NC_005819.1	977	191289	Sclerophthora macrospora virus A								Viruses
NC_002204.1	2368	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002205.1	2313	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002206.1	2204	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002207.1	1882	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002208.1	1841	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002209.1	1557	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002210.1	1191	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_002211.1	1096	518987	Influenza B virus (B/Lee/1940)	Influenza B virus	Betainfluenzavirus	Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_001998.1	4529	90963	Chlamydia phage CPG1	Chlamydia virus CPG1	Chlamydiamicrovirus	Microviridae	Petitvirales	Malgrandaviricetes	Phixviricota	Sangervirae	Viruses
NC_001442.1	4697	1891754	Bos taurus polyomavirus 1			Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001546.1	300	196399	Arabis mosaic virus small satellite RNA								Viruses
NC_001678.1	8028	464935	Rhesus papillomavirus 1b	Alphapapillomavirus 12	Alphapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001829.1	4767	57579	Adeno-associated virus - 4	Adeno-associated dependoparvovirus A	Dependoparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001895.1	33593	131001	Enterobacteria phage HK109	Escherichia virus P2	Peduovirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_001954.1	8454	10868	Escherichia phage If1	Escherichia virus If1	Infulavirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_000866.4	168903	10665	Escherichia virus T4		Tequatrovirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002166.1	40751	10742	Escherichia virus HK022		Hendrixvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002195.1	2915	687377	Torque teno mini virus 9		Betatorquevirus	Anelloviridae					Viruses
NC_001421.2	14927	10658	Enterobacteria phage PRD1	Pseudomonas virus PRD1	Alphatectivirus	Tectiviridae	Kalamavirales	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Viruses
NC_001465.1	1291	1458187	Coconut foliar decay alphasatellite			Alphasatellitidae					Viruses
NC_001505.2	4754	10638	Kilham polyomavirus	Mus musculus polyomavirus 2	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001541.1	7868	31553	Papillomavirus sylvilagi (STRAIN KANSAS)	Kappapapillomavirus 2	Kappapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001938.1	2601	10835	Tomato mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001939.1	2544	10835	Tomato mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001875.2	131995	262177	Orgyia pseudotsugata multiple nucleopolyhedrovirus		Alphabaculovirus	Baculoviridae					Viruses
NC_001962.1	128413	172039	Bombyx mori nuclear polyhedrosis virus K1	Bombyx mori nucleopolyhedrovirus	Alphabaculovirus	Baculoviridae					Viruses
NC_002362.1	8784	127507	Vibrio phage VfO3K6	Vibrio virus VfO3K6	Versovirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_002520.1	232392	28321	Amsacta moorei entomopoxvirus		Betaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_002555.1	2622	99478	Tomato rugose mosaic virus - [Uberlandia]	Tomato rugose mosaic virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002556.1	2572	99478	Tomato rugose mosaic virus - [Uberlandia]	Tomato rugose mosaic virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_000929.1	36717	10677	Escherichia virus Mu		Muvirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002656.1	50550	148603	Mycobacterium virus Bxb1		Fromanvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002671.1	15179	151539	Lactococcus phage bIL312			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002802.1	308	148880	Discula destructiva virus 1		Gammapartitivirus	Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_002984.1	2632	134681	Cucurbit leaf crumple virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002985.1	2600	134681	Cucurbit leaf crumple virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003054.1	1821	146032	Goose circovirus		Circovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003138.2	8303	172220	Blueberry red ringspot virus		Soymovirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_000872.1	40739	64186	Streptococcus virus Sfi21		Moineauvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002661.2	42942	130478	Staphylococcus virus phiSLT		Triavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003288.1	43081	106284	Staphylococcus virus phiETA		Phietavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003324.1	57416	179237	Sinorhizobium phage PBC5			Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003378.1	7767	107324	Tobacco vein clearing virus		Solendovirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_003387.1	52797	88870	Mycobacterium phage TM4	Mycobacterium virus TM4	Timquatrovirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_001902.1	26111	77048	Methanobacterium phage psiM2	Psimunavirus psiM2	Psimunavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003472.1	1790	37961	Atkinsonella hypoxylon virus		Betapartitivirus	Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_003529.1	155060	207830	Mamestra configurata nucleopolyhedrovirus A		Alphabaculovirus	Baculoviridae					Viruses
NC_003609.1	2757	180587	Honeysuckle yellow vein mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003708.1	2745	35341	Watermelon chlorotic stunt virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003709.1	2753	35341	Watermelon chlorotic stunt virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003850.1	377	195061	Solanum nodiflorum mottle virus satellite RNA								Viruses
NC_003867.1	2620	223357	Tomato mosaic Havana virus-[Quivican]	Tomato mosaic Havana virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003868.1	2586	223356	Tomato mosaic Havana virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001540.1	5517	365609	Bovine parvovirus-1	Ungulate bocaparvovirus 1	Bocaparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001669.1	5243	1891767	Macaca mulatta polyomavirus 1		Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001706.1	22172	31537	Lactococcus virus c2		Ceduovirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_001884.1	134416	66797	Bacillus virus SPbeta		Spbetavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_001936.1	2634	10829	Squash leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001937.1	2607	10829	Squash leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_000924.1	61670	180816	Stx2 converting phage I	Escherichia virus 933W	Traversvirus	Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_000935.1	36524	67571	Hamiltonella virus APSE1			Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
