#tax_id	genomic_nucleotide_accession.version
10291	NC_038921.1
10295	NC_043048.1
10380	NC_038267.1
10386	NC_006623.1
10390	NC_002229.3
10401	NC_001493.2
10456	NC_038369.1
10479	NC_038931.1
10497	NC_001659.2
10497	NC_044941.1
10497	NC_044942.1
10497	NC_044943.1
10497	NC_044945.1
10497	NC_044946.1
10497	NC_044947.1
10497	NC_044955.1
10497	NC_044959.2
10537	NC_001734.1
10561	NC_004197.1
10566	NC_027779.1
10567	NC_001605.1
10570	NC_001678.1
10611	NC_038889.1
10617	NC_001457.1
10623	NC_001541.1
10654	NC_001914.1
10678	NC_005856.1
10679	NC_001895.1
10679	NC_041848.1
10680	NC_001609.1
10683	NC_043027.1
10690	NC_001697.1
10707	NC_042564.1
10730	NC_000924.1
10747	NC_001825.1
10753	NC_049976.1
10756	NC_011048.1
10757	NC_001423.1
10759	NC_003298.1
10759	NC_047864.1
10760	NC_001604.1
10784	NC_001540.1
10798	NC_000883.2
10843	NC_001420.2
10847	NC_001422.1
10862	NC_001396.1
10987	NC_038944.1
10987	NC_038945.1
10987	NC_038946.1
10987	NC_038947.1
10987	NC_038948.1
10987	NC_038949.1
10987	NC_038950.1
10987	NC_038951.1
10987	NC_038952.1
10989	NC_028465.1
10989	NC_037570.1
10989	NC_037571.1
10989	NC_037572.1
10989	NC_037573.1
10989	NC_037574.1
10989	NC_037575.1
10989	NC_037576.1
10989	NC_037577.1
10989	NC_037578.1
10995	NC_004178.1
10995	NC_004179.1
11002	NC_001915.1
11002	NC_001916.1
11049	NC_043487.1
11082	NC_001563.2
11082	NC_009942.1
11083	NC_003687.1
11089	NC_002031.1
11120	NC_001451.1
11120	NC_048213.1
11128	NC_003045.1
11135	NC_002306.3
11149	NC_038861.1
11156	NC_043211.1
11156	NC_043212.1
11247	NC_038272.1
11269	NC_001608.3
11269	NC_024781.1
11274	NC_038286.1
11303	NC_002526.1
11318	NC_034254.1
11318	NC_034255.1
11318	NC_034256.1
11318	NC_034261.1
11318	NC_034262.1
